Aereto Erebi,Giovanni
Adna Haddad,Brujah
Aldrich,Banu Haqim
Alicia O'Dracon,Tremere
Antonio Sanchez,Gangrel
Auguste Lagrange, 
Ava,Ravnos Ancilla
Bes,Alliance Wraith
Blair Collins,Constable of Brighton Beach
Bruno Stracci,Hatchet of the Alliance
Corveilia Giovanni,Doyen of the Alliance
<size="5">Dr.</size>^Crow Tempish,Tremere
Damien Blackfeather,Warden of Caliburn Island
Danny DeVitae,Sheriff
Davik Checkmanov,Robotic Scientist
Dodge Greenfield,Ghoul
Viscount Emil Dragomir,Elder
Evellen Willow,Childe of Malkav
F,Malkavian Elder
Frank Horrigan,Independent Alliance
<size="5">Lord</size>^Gabriel Payne,Ventrue Elder
The Ghost In The Machine,Architect of Brighton Beach
Grace Dixon,Toreador
Grease,A <b>Very</b> Big Rat
Hunter Krown,Moon's Eclipse
Johnny Diamond,Toreador
<size="5">Lord</size>^Joseph Johnson,Ventrue
Khar-Duras,Follower of Set
Kris Bailey,Gangrel
Lucrezia Stracci,Virago of the Alliance
Marcelle Dupont,Toreador Primogen
Marcus Thorn,Toreador
<size="5">Lord</size>^Max Saber,Ventrue
Morgian,Master of the Manor of Madness
Mr. Monster,Nosferatu
Omori Noriko,Nosferatu Whip
<size="5">His Majesty</size>^Kelson O'Dell, Prince of Caliburn Island
Psycho,Advocate of Brighton Beach
Ricky James,Sons of Discord
Rigel,Brujah
Sasha,Ravnos
<size="5">Lady</size>^Selene Blackwood,Seneschal of Caliburn
Sewer Man,Nosferatu
Sister Catherina,Malkavian
Sobeck,The Twin Serpent
Sobecka,The Twin Serpent
Soot,Keeper of Elysium
<size="5">Lord</size>^Stein,Ventrue
Steven Fox-Bauer,Malkavian
Tony Milliner,Ghoul
<size="5">Sir</size>^Tristian Allerdale,Brujah Primogen
Vanessa,Malkavian
Vailan Jones,Malkavian
Whisper,Caitiff
Wrath Bellangelus King,Showman
Yoshi,Rat
Zee,Boiyd
